slug,discount
unito,"Unito offers a 14-day free trial. There is a question in the FAQ section 'Do you offer any discounted plans?', which implies that they may offer discounts, but no specific discount is mentioned on the pricing page."
upkeep,UpKeep offers a free trial. There are also implementation and training add-ons available for an additional fee.
squarespace,"Annual discounts are offered on all plans: Basic (36%), Core (36%), Plus (30%), and Advanced (28%)."
vantage,The Pro and Business plans offer a 14-day free trial. Autopilot pricing is based on 5% of the savings found.
vendr,"The pricing shown is annual, based on employee headcount. There are no explicit discounts mentioned."
vanta,No discounts are explicitly mentioned on the pricing page. Users are encouraged to request a demo for more information.
waalaxy,"Annual billing offers a 25% discount across all plans. Free trials are available for Business, Advanced, and Pro plans."
vercel,No discounts are explicitly mentioned on the pricing page.
v7labs,"The pricing page mentions 'Monthly or annually' under the billing section, implying an annual billing option."
userpilot,No discounts are explicitly mentioned on the pricing page.
veed,"Annual billing discounts are available on the Lite and Pro plans. Lite offers 66% off, while Pro offers 47% off when billed annually."
uxcam,The pricing page offers a free plan with limited features. There is also a free trial available.
workable,Annual discounts are available on all plans. Standard plan offers 20% off annually. Premier plan offers 17% off annually. Starter plan offers bundle discount up to 10%.
woocommerce,
videoask,20% discount for annual billing.
wagepoint,Free trial is offered for both Solo and Unlimited plans.
voiceflow,20% discount for annual billing on Pro and Team plans. Free 'Sandbox' plan available. Pro and Team plans offer a 14-day free trial.
vlogbox,Vlogbox offers a free channel setup and revenue sharing models for customers with large audiences under the 'Custom' plan. They also offer to pay $1000 for upfront app development.
wandb,"Weights & Biases offers a free plan for personal/small projects. They also offer a free academic research license with unlimited tracking hours, teams, projects, and 200GB free cloud storage."
waveapps,"Wave offers an annual discount on the Pro plan. The annual price is $170, which is cheaper than paying monthly."
vidyard,"Vidyard offers an annual discount for the Plus plan. The Plus plan is offered at $59/month when billed annually, or $69 when billed monthly. Vidyard also offers a 14-day trial for the Plus plan."
virtru,"All plans show a monthly price, but are billed annually. This implies an annual billing discount."
wasabi,Wasabi offers discounts for reserved capacity storage based on term and capacity. There is also a free trial available for the 'Pay as You Go' plan.
workiz,
wiz,
wheniwork,"The pricing page offers a free trial for all plans. There is also a savings calculator that shows potential savings based on time spent scheduling, average manager hourly rate, and number of users."
whatagraph,"The pricing page mentions a 'Tailored price' indicating custom pricing based on the user's needs. There is no mention of specific discount types like annual, introductory, volume, or multi-product discounts."
wisestep,"7 Days Free Trial is offered. Free setup, unlimited training and onboarding, and a responsive dedicated support manager are included."
wistia,"Wistia offers a 20% discount for yearly billing on the Plus, Pro, and Advanced plans. They also offer a free plan."
webflow,"Annual billing is offered, with savings up to $220. A free 'Starter' plan is available."
wix,Wix offers a free domain for 1 year with select website plans.
wrike,"Wrike offers a free plan. There is also a free trial available for the paid plans. The pricing outlined herein is valid only as to new purchases occurring on or after October 25, 2022, and is not offered and does not apply to any prior purchases."
yesware,"Yesware offers an annual discount of up to 20% compared to monthly billing. They may also offer discounts for students and non-profits/NGOs, as indicated in the FAQ."
uzio,Uzio offers a 10% discount for customers who choose annual billing.
zoho.inventory,Save 33% with annual billing.
zoho.commerce,"Zoho Commerce offers a 20% discount on all plans (Starter, Professional, and Advanced) when billed annually."
yola,Annual billing offers a discount of up to 42.5% and includes a free domain for one year.
zoho.peopleplus,Zoho People Plus offers a 10% discount for users who choose to be billed annually instead of monthly.
userlytics,"The Enterprise plan offers volume discounts and 'as low as' pricing for annual plans. There is also an 'End of Year Special Offer!' There are discounts on plans over $7,500."
zapier,"Annual discount of 33% is offered. Multi-product discounts are available when bundling Zaps Professional, Tables Pro, and Interfaces Pro. Volume discounts may be available for Enterprise plan."
xref,"Annual subscription offers a discount compared to monthly billing. The Starter plan is $70/month when billed annually, versus $80/month with monthly billing."
y42,"The pricing page offers a free trial for the Business plan. There is also an add-on for SQL-based ingestion, with pricing starting from $15 per million rows ingested."
xero,Get 90% off your plan for 3 months. All plans also offer one month free for Inventory Plus.
workday,
captions,
zoho.remote-desktop-management,
scale,"The pricing page offers free usage tiers for Data Annotation (first 1,000 labeling units at no cost) and Data Management (upload and curate the first 10,000 images at no cost) for the Self-Serve Data Engine."
zoom.rooms,Save up to 15% with annual billing.
zoho.shifts,Annual billing offers a discount equivalent to 2 months free. A 30-day free trial is available.
zoho.vault,Zoho Vault offers a 10% discount for annual subscriptions. Volume-based discounts are also available and require contacting sales for a custom quote.
zoho.sprints,"Annual discount: Pay for 10 months, get 12 months. Free plan available with limited features."
zoom.events,Save up to 16% with annual billing.
crunchbase,Annual discount of 50% is offered on the 'Pro' plan. A 7-day free trial is available for the 'Pro' plan.
confluent,Save 25% or more on your Kafka costs.
digitalocean,"DigitalOcean offers discounts on Backups, with 20% off for weekly backups and 30% off for daily backups. They also offer $200 credit for the first 60 days."
getzep,"The pricing page mentions a $5,000 credit for startups towards their subscription. This is an introductory offer."
atomicwork,"The Professional plan offers a 'Request a free trial' option. The Business and Enterprise plans have custom pricing, so potential discounts may be available."
frugaltesting,"The pricing page offers a 'Free' plan. The 'Basic', 'Pro', and 'Premium' plans have a 'Pay as you go' option for the number of tests."
squareup,The Plus and Premium plans are billed annually. The Plus plan includes a free domain for 1 year.
jasper,Annual billing is available and offers a 20% discount compared to monthly billing.
podium,Podium offers a discount of 30% more sales with AI Employee.
siteground,"Introductory discounts are offered on all plans for the first invoice. Startup plan is discounted by 83% (from $17.99 to $2.99/mo), GrowBig plan is discounted by 83% (from $29.99 to $4.99/mo), and GoGeek plan is discounted by 82% (from $44.99 to $7.99/mo). Free domain and site transfer are also offered."
hevo,"Annual billing offers a discount compared to monthly billing. Starter plan is $239/month (from $299), and Professional is $679/month (from $849) when billed annually. A free plan is also available."
sentinelone,
rapid7,
brex,"Brex business accounts offer no fees for ACH transfers, checks, wire transfers, account opening, or account maintenance."
fireworks,"Fireworks AI offers $1 free credits for the Developer plan. They also provide volume-based discounts on spending limits, where higher total historical spend qualifies users for higher spending tiers."
e2b,The 'Hobby' plan is offered for free. The 'Pro' plan includes a one-time $100 usage credit.
owndata.accelerate,The pricing for Own products can be found on the Salesforce website. Click on 'See Pricing' or 'Get a Demo' to learn more.
crowdstrike,"CrowdStrike offers a 15-day free trial. They also offer FalconFlex, which allows customers to access the entire CrowdStrike product portfolio and pay for what they need. Contact sales for custom pricing."
jam,"A free plan is offered. The Teams plan has a ""Try Free for 30 days"" offer."
synthesia,Synthesia offers a 25% discount on annual billing.
webex,Volume discount: 6 months free with 5+ licenses. Annual discount: paying annually for Webex Meet saves 16.67% compared to paying monthly.
openai.api,
pylon,Annual discount: Save up to 23% when choosing yearly billing.
anthropic.api,"50% discount with batch processing is offered for Claude 3.7 Sonnet, Claude 3.5 Haiku and Claude 3 Opus models."
adobe.creativecloud,The page offers a 30-day free trial of Adobe Stock with some plans. No other discounts are explicitly mentioned.
x,No discounts are mentioned on the pricing page.
vimeo,"Vimeo offers a 40% discount for annual billing on its Starter, Standard, and Advanced plans."
